date,USDT_price,USDT_supply,BTC_price
2018-06-18,1.00312,2607140346.0,6733.38
2018-06-19,1.00002,2607140346.0,6759.1
2018-06-20,1.00084,2607140346.0,6776.84
2018-06-21,1.00085,2607140346.0,6737.58
2018-06-22,1.00145,2607140346.0,6083.68
2018-06-23,1.00251,2607140346.0,6166.8
2018-06-24,0.999073,2607140346.0,6168.79
2018-06-25,1.00185,2633565937.098748,6260.63
2018-06-26,1.0001,2707140346.0,6096.19
2018-06-27,0.9991509999999999,2707140346.0,6154.48
2018-06-28,0.997193,2707140346.0,5903.44
2018-06-29,1.00389,2707140346.0,6220.76
2018-06-30,0.997848,2707140346.0,6396.98
2018-07-01,1.00039,2707140346.0,6388.12
2018-07-02,0.9985879999999999,2707140346.0,6614.92
2018-07-03,1.00009,2707140346.0,6533.56
2018-07-04,1.00022,2707140346.0,6609.7
2018-07-05,1.00604,2707140346.0,6643.34
2018-07-06,1.00218,2640473679.3333335,6674.68
2018-07-07,1.00616,2607140346.0,6859.53
2018-07-08,1.00434,2607140346.0,6762.01
2018-07-09,1.00708,2607140346.0,6746.22
2018-07-10,1.00018,2607140346.0,6328.33
2018-07-11,1.00107,2607140346.0,6393.59
2018-07-12,0.9992169999999999,2643390346.0,6228.81
2018-07-13,0.996872,2707140346.0,6236.49
2018-07-14,1.00269,2707140346.0,6275.18
2018-07-15,0.9983519999999999,2707140346.0,6359.64
2018-07-16,0.9988279999999999,2707140346.0,6742.49
2018-07-17,1.00013,2707140346.0,7318.74
2018-07-18,1.00221,2707140346.0,7370.78
2018-07-19,0.998088,2707140346.0,7466.86
2018-07-20,1.00103,2693182012.6666665,7354.94
2018-07-21,0.9998549999999999,2657140346.0,7418.71
2018-07-22,0.9998429999999999,2657140346.0,7418.49
2018-07-23,0.997594,2626515346.0,7713.31
2018-07-24,0.996505,2559779234.888889,8424.27
2018-07-25,0.998791,2507140346.0,8181.39
2018-07-26,0.9979509999999999,2507140346.0,7951.58
2018-07-27,0.99753,2507140346.0,8167.81
2018-07-28,0.9977809999999999,2507140346.0,8188.85
2018-07-29,0.999443,2507140346.0,8221.44
2018-07-30,0.9970642534,2507140346.0,8183.56562256
2018-07-31,0.9998288397,2490202846.0,7774.87303565
2018-08-01,0.9994092356000001,2432494512.6666665,7624.90741594
2018-08-02,1.0006634383,2406820901.5555553,7567.15160233
2018-08-03,0.9996915517,2424450287.5204678,7436.26183554
2018-08-04,0.9982536209,2437140346.0,7032.21316739
2018-08-05,0.9994858675,2437140346.0,7064.02626634
2018-08-06,1.0009804776,2437140346.0,6951.2803658
2018-08-07,1.0030192618,2437140346.0,6753.71764839
2018-08-08,1.0016860462,2421702237.5159945,6305.80304475
2018-08-09,1.0042038055,2407140346.0,6568.02168724
2018-08-10,1.0015760708,2407140346.0,6184.71178367
2018-08-11,1.008720541,2407140346.0,6289.74605164
2018-08-12,1.0019806463,2407140346.0,6335.06058091
2018-08-13,1.0037989783,2407140346.0,6297.96664043
2018-08-14,0.9975434078000001,2407140346.0,6199.71276805
2018-08-15,0.9974889474,2407140346.0,6293.27724365
2018-08-16,1.0009776095,2407140346.0,6324.7423257
2018-08-17,0.9977609918,2643936314.4195404,6580.62933687
2018-08-18,1.0030569277,2712432408.3226705,6423.68691813
2018-08-19,1.0005238142,2722140336.0,6506.06881185
2018-08-20,1.0053884489,2722140336.0,6305.19259562
2018-08-21,1.0001371195,2741845805.845722,6496.258447
2018-08-22,0.9996254026,2822140336.0,6376.83461362
2018-08-23,0.9989756892,2798792071.7222843,6534.87662447
2018-08-24,1.0007613357,2788303559.2765956,6717.68298629
2018-08-25,1.0015126912,2792140336.0,6769.94985511
2018-08-26,0.9980690376,2792140336.0,6715.64805358
2018-08-27,0.9983417375,2806606907.834993,6881.56612007
2018-08-28,0.9993953911000001,2812140336.0,7096.27708292
2018-08-29,1.0000108269,2792947011.9388037,7046.07682983
2018-08-30,0.9981872168,2782140336.0,6981.57685708
2018-08-31,1.0017795704,2773195891.5555553,7036.75531489
2018-09-01,0.9977607736,2742140336.0,7193.41650052
2018-09-02,0.9954221709000001,2774084780.4444447,7269.10081969
2018-09-03,0.9985954396000001,2823807002.6666665,7264.79922436
2018-09-04,0.9994976783,2782647280.4444447,7362.7119946
2018-09-05,1.0079467544,2760738949.888889,6818.83022958
2018-09-06,1.00160188,2756421736.0,6538.48023324
2018-09-07,1.0069184045,2756421736.0,6463.22559639
2018-09-08,1.0045020607,2756421736.0,6223.43011665
2018-09-09,1.0059279405,2756421736.0,6303.80648503
2018-09-10,1.0012825177,2756421736.0,6329.69690852
2018-09-11,1.004204132,2756421736.0,6324.59015192
2018-09-12,1.0020120894,2756421736.0,6360.69694706
2018-09-13,1.0035104131,2756421736.0,6521.23827161
2018-09-14,1.002359877,2756421736.0,6512.70548453
2018-09-15,1.000942,2756421736.0,6544.13620369
2018-09-16,1.0008854359,2756421736.0,6514.52997091
2018-09-17,1.0041094695,2756421736.0,6281.19609296
2018-09-18,1.0012650502,2756421736.0,6369.18712761
2018-09-19,1.0004299215,2756421736.0,6394.89073566
2018-09-20,1.0028988279,2756421736.0,6523.44829872
2018-09-21,0.9944278083,2773852291.5555553,6734.95239431
2018-09-22,1.0007716847,2806421736.0,6722.22113413
2018-09-23,1.0001341907,2806421736.0,6707.26095584
2018-09-24,1.0006324209,2806421736.0,6595.41332528
2018-09-25,0.9995491293000001,2806421736.0,6444.41067269
2018-09-26,1.0023757588,2806421736.0,6498.32602721
2018-09-27,0.9971073336,2806421736.0,6680.71461176
2018-09-28,1.0013627728,2806421736.0,6642.0772968
